trial=0
,min,max,avg
gen=0,46,68,52.500000
gen=1,47,70,54.040000
gen=2,47,70,55.860000
gen=3,52,70,58.320000
gen=4,55,70,60.280000
gen=5,57,70,62.560000
gen=6,59,71,64.620000
gen=7,61,71,66.340000
gen=8,64,73,68.060000
gen=9,66,76,69.400000
gen=10,67,76,69.980000
gen=11,68,76,70.860000
gen=12,68,78,71.820000
gen=13,69,78,72.300000
gen=14,70,78,73.100000
gen=15,71,79,73.760000
gen=16,72,79,74.640000
gen=17,73,79,75.620000
gen=18,73,80,76.680000
gen=19,74,81,77.680000
gen=20,75,82,78.180000
gen=21,76,82,79.080000
gen=22,76,83,79.880000
gen=23,78,84,80.540000
gen=24,79,85,81.160000
gen=25,79,86,81.740000
gen=26,80,86,82.200000
gen=27,81,87,82.960000
gen=28,81,87,83.660000
gen=29,81,89,84.140000
gen=30,82,89,84.580000
gen=31,83,89,85.280000
gen=32,84,89,85.820000
gen=33,84,89,86.400000
gen=34,85,89,87.160000
gen=35,86,90,87.660000
gen=36,86,91,88.180000
gen=37,86,91,88.540000
gen=38,86,91,88.900000
gen=39,87,92,89.480000
gen=40,88,92,89.820000
gen=41,88,92,90.100000
gen=42,88,93,90.480000
gen=43,88,93,90.860000
gen=44,89,93,91.240000
gen=45,90,93,91.640000
gen=46,90,94,91.960000
gen=47,90,95,92.420000
gen=48,91,95,92.840000
gen=49,92,95,93.240000
gen=50,92,95,93.460000
gen=51,92,95,93.720000
gen=52,92,96,94.000000
gen=53,92,96,94.300000
gen=54,92,96,94.580000
gen=55,92,97,94.960000
gen=56,93,97,95.320000
gen=57,94,97,95.620000
gen=58,94,98,95.960000
gen=59,94,98,96.220000
gen=60,94,98,96.520000
gen=61,95,98,96.800000
gen=62,95,98,96.960000
gen=63,96,99,97.200000
gen=64,96,99,97.400000
gen=65,96,99,97.600000
gen=66,96,99,97.760000
gen=67,97,99,97.980000
gen=68,97,99,98.160000
gen=69,97,100,98.440000
gen=70,98,100,98.540000
gen=71,98,100,98.660000
gen=72,98,100,98.820000
gen=73,98,100,99.020000
gen=74,98,100,99.140000
gen=75,98,100,99.260000
gen=76,98,100,99.340000
gen=77,98,100,99.440000
gen=78,98,100,99.500000
gen=79,98,100,99.520000
gen=80,98,100,99.620000
gen=81,98,100,99.640000
gen=82,98,100,99.720000
gen=83,99,100,99.780000
gen=84,99,100,99.840000
gen=85,99,100,99.940000
gen=86,100,100,100.000000
gen=87,100,100,100.000000
gen=88,100,100,100.000000
gen=89,100,100,100.000000
gen=90,100,100,100.000000
gen=91,100,100,100.000000
gen=92,100,100,100.000000
gen=93,100,100,100.000000
gen=94,100,100,100.000000
gen=95,100,100,100.000000
gen=96,100,100,100.000000
gen=97,100,100,100.000000
gen=98,100,100,100.000000
gen=99,100,100,100.000000
trial=1
,min,max,avg
gen=0,44,60,51.960000
gen=1,50,61,54.640000
gen=2,52,62,56.640000
gen=3,52,62,58.240000
gen=4,56,64,59.800000
gen=5,58,65,61.360000
gen=6,59,65,62.260000
gen=7,61,66,63.480000
gen=8,62,69,64.280000
gen=9,63,70,65.000000
gen=10,63,70,65.920000
gen=11,64,70,66.860000
gen=12,65,74,67.700000
gen=13,66,74,68.640000
gen=14,67,74,69.420000
gen=15,67,75,70.300000
gen=16,67,76,70.760000
gen=17,68,76,71.640000
gen=18,69,79,72.780000
gen=19,71,79,73.740000
gen=20,72,79,75.140000
gen=21,74,80,76.540000
gen=22,74,81,77.480000
gen=23,75,83,78.360000
gen=24,76,83,79.400000
gen=25,77,84,80.540000
gen=26,78,84,81.380000
gen=27,80,85,81.840000
gen=28,80,85,82.440000
gen=29,81,85,82.820000
gen=30,81,87,83.580000
gen=31,82,87,84.240000
gen=32,83,88,84.680000
gen=33,83,88,85.140000
gen=34,84,88,85.760000
gen=35,84,89,86.560000
gen=36,85,89,87.200000
gen=37,85,90,87.760000
gen=38,86,91,88.280000
gen=39,86,92,88.680000
gen=40,87,92,88.900000
gen=41,87,92,89.400000
gen=42,88,93,89.960000
gen=43,89,93,90.220000
gen=44,89,94,90.840000
gen=45,89,95,91.340000
gen=46,90,95,91.740000
gen=47,90,95,92.100000
gen=48,91,95,92.400000
gen=49,91,95,92.740000
gen=50,91,95,93.080000
gen=51,92,96,93.360000
gen=52,92,96,93.680000
gen=53,92,96,93.960000
