trial=0
,min,max,avg
gen=58,87.000000,87.000000,87.000000
gen=59,87.000000,87.000000,87.000000
gen=60,87.000000,87.000000,87.000000
gen=61,87.000000,87.000000,87.000000
gen=62,87.000000,87.000000,87.000000
gen=63,87.000000,87.000000,87.000000
gen=64,87.000000,87.000000,87.000000
gen=65,87.000000,87.000000,87.000000
gen=66,87.000000,87.000000,87.000000
gen=67,87.000000,87.000000,87.000000
gen=68,87.000000,87.000000,87.000000
gen=69,87.000000,87.000000,87.000000
gen=70,87.000000,87.000000,87.000000
gen=71,87.000000,87.000000,87.000000
gen=72,87.000000,87.000000,87.000000
gen=73,87.000000,87.000000,87.000000
gen=74,87.000000,87.000000,87.000000
gen=75,87.000000,87.000000,87.000000
gen=76,87.000000,87.000000,87.000000
gen=77,87.000000,87.000000,87.000000
gen=78,87.000000,87.000000,87.000000
gen=79,87.000000,87.000000,87.000000
gen=80,87.000000,87.000000,87.000000
gen=81,87.000000,87.000000,87.000000
gen=82,87.000000,87.000000,87.000000
gen=83,87.000000,87.000000,87.000000
gen=84,87.000000,87.000000,87.000000
gen=85,87.000000,87.000000,87.000000
gen=86,87.000000,87.000000,87.000000
gen=87,87.000000,87.000000,87.000000
gen=88,87.000000,87.000000,87.000000
gen=89,87.000000,87.000000,87.000000
gen=90,87.000000,87.000000,87.000000
gen=91,87.000000,87.000000,87.000000
gen=92,87.000000,87.000000,87.000000
gen=93,87.000000,87.000000,87.000000
gen=94,87.000000,87.000000,87.000000
gen=95,87.000000,87.000000,87.000000
gen=96,87.000000,87.000000,87.000000
gen=97,87.000000,87.000000,87.000000
gen=98,87.000000,87.000000,87.000000
gen=99,87.000000,87.000000,87.000000
trial=2
,min,max,avg
gen=0,45.000000,63.000000,52.800000
gen=1,48.000000,66.000000,55.200000
gen=2,52.000000,66.000000,56.960000
gen=3,53.000000,66.000000,59.100000
gen=4,53.000000,68.000000,60.340000
gen=5,56.000000,68.000000,62.040000
gen=6,58.000000,68.000000,63.700000
gen=7,59.000000,68.000000,64.580000
gen=8,62.000000,69.000000,66.320000
gen=9,64.000000,71.000000,67.340000
gen=10,65.000000,73.000000,68.220000
gen=11,66.000000,73.000000,69.180000
gen=12,67.000000,76.000000,70.440000
gen=13,68.000000,76.000000,71.560000
gen=14,68.000000,77.000000,72.900000
gen=15,69.000000,77.000000,73.960000
gen=16,70.000000,78.000000,75.200000
gen=17,70.000000,78.000000,75.700000
gen=18,74.000000,79.000000,76.500000
gen=19,76.000000,79.000000,77.180000
gen=20,76.000000,81.000000,77.660000
gen=21,76.000000,81.000000,78.200000
gen=22,77.000000,81.000000,78.840000
gen=23,78.000000,82.000000,79.540000
gen=24,79.000000,82.000000,80.200000
gen=25,79.000000,82.000000,80.780000
gen=26,79.000000,83.000000,81.240000
gen=27,81.000000,84.000000,81.920000
gen=28,81.000000,84.000000,82.420000
gen=29,82.000000,84.000000,82.800000
gen=30,82.000000,84.000000,83.160000
gen=31,82.000000,85.000000,83.560000
gen=32,83.000000,85.000000,83.980000
gen=33,83.000000,86.000000,84.300000
gen=34,84.000000,87.000000,84.780000
gen=35,84.000000,87.000000,85.180000
gen=36,84.000000,87.000000,85.480000
gen=37,85.000000,87.000000,85.860000
gen=38,85.000000,88.000000,86.120000
gen=39,85.000000,88.000000,86.540000
gen=40,86.000000,88.000000,86.840000
gen=41,86.000000,88.000000,87.120000
gen=42,86.000000,88.000000,87.320000
gen=43,87.000000,88.000000,87.580000
gen=44,87.000000,88.000000,87.860000
gen=45,88.000000,89.000000,88.100000
gen=46,88.000000,89.000000,88.280000
gen=47,88.000000,89.000000,88.340000
gen=48,88.000000,89.000000,88.460000
gen=49,88.000000,89.000000,88.480000
gen=50,88.000000,89.000000,88.640000
gen=51,88.000000,89.000000,88.920000
gen=52,88.000000,89.000000,88.960000
gen=53,89.000000,89.000000,89.000000
gen=54,89.000000,89.000000,89.000000
gen=55,89.000000,89.000000,89.000000
gen=56,89.000000,89.000000,89.000000
gen=57,89.000000,89.000000,89.000000
gen=58,89.000000,89.000000,89.000000
gen=59,89.000000,89.000000,89.000000
gen=60,89.000000,89.000000,89.000000
gen=61,89.000000,89.000000,89.000000
gen=62,89.000000,89.000000,89.000000
gen=63,89.000000,89.000000,89.000000
gen=64,89.000000,89.000000,89.000000
gen=65,89.000000,90.000000,89.020000
gen=66,89.000000,90.000000,89.040000
gen=67,89.000000,90.000000,89.080000
gen=68,89.000000,90.000000,89.160000
gen=69,89.000000,90.000000,89.240000
gen=70,89.000000,90.000000,89.400000
gen=71,89.000000,90.000000,89.640000
gen=72,89.000000,90.000000,89.840000
gen=73,89.000000,90.000000,89.960000
gen=74,89.000000,90.000000,89.960000
gen=75,90.000000,90.000000,90.000000
gen=76,90.000000,90.000000,90.000000
gen=77,90.000000,90.000000,90.000000
gen=78,90.000000,90.000000,90.000000
gen=79,90.000000,90.000000,90.000000
gen=80,90.000000,90.000000,90.000000
gen=81,90.000000,90.000000,90.000000
gen=82,90.000000,90.000000,90.000000
gen=83,90.000000,90.000000,90.000000
gen=84,90.000000,90.000000,90.000000
gen=85,90.000000,90.000000,90.000000
gen=86,90.000000,90.000000,90.000000
gen=87,90.000000,90.000000,90.000000
gen=88,90.000000,90.000000,90.000000
gen=89,90.000000,90.000000,90.000000
gen=90,90.000000,90.000000,90.000000
gen=91,90.000000,90.000000,90.000000
gen=92,90.000000,90.000000,90.000000
gen=93,90.000000,90.000000,90.000000
gen=94,90.000000,90.000000,90.000000
gen=95,90.000000,90.000000,90.000000
gen=96,90.000000,90.000000,90.000000
gen=97,90.000000,90.000000,90.000000
gen=98,90.000000,90.000000,90.000000
gen=99,90.000000,90.000000,90.000000
trial=3
,min,max,avg
gen=0,44.000000,58.000000,52.720000
gen=1,49.000000,61.000000,55.360000
gen=2,49.000000,64.000000,56.820000
gen=3,53.000000,64.000000,58.560000
gen=4,56.000000,66.000000,60.220000
gen=5,57.000000,68.000000,61.580000
gen=6,60.000000,69.000000,63.120000
