trial=0
,min,max,avg
gen=0,42,63,50.480000
gen=1,41,61,50.780000
gen=2,37,61,50.460000
gen=3,38,62,51.380000
gen=4,39,62,51.260000
gen=5,40,65,51.780000
gen=6,41,64,52.080000
gen=7,44,65,53.600000
gen=8,39,64,53.980000
gen=9,41,66,54.580000
gen=10,35,65,54.720000
gen=11,42,66,54.520000
gen=12,41,66,55.920000
gen=13,42,67,56.760000
gen=14,45,67,57.720000
gen=15,46,68,58.620000
gen=16,49,69,59.920000
gen=17,50,69,59.860000
gen=18,49,70,59.600000
gen=19,49,67,58.720000
gen=20,50,69,60.200000
gen=21,48,67,60.220000
gen=22,50,67,60.700000
gen=23,49,67,60.940000
gen=24,53,69,60.860000
gen=25,55,68,62.040000
gen=26,52,68,62.640000
gen=27,55,70,62.640000
gen=28,54,72,61.720000
gen=29,53,68,60.820000
gen=30,50,70,60.940000
gen=31,53,69,60.680000
gen=32,50,68,59.900000
gen=33,48,67,59.720000
gen=34,52,67,60.380000
gen=35,54,67,60.180000
gen=36,52,70,59.480000
gen=37,51,65,58.760000
gen=38,51,65,57.840000
gen=39,54,63,58.140000
gen=40,51,65,57.520000
gen=41,51,64,57.260000
gen=42,51,65,57.660000
gen=43,50,64,57.700000
gen=44,51,65,57.980000
gen=45,52,64,57.740000
gen=46,52,65,58.200000
gen=47,48,67,58.560000
gen=48,48,65,57.660000
gen=49,50,63,57.220000
gen=50,47,66,57.560000
gen=51,47,63,57.460000
gen=52,45,65,56.020000
gen=53,46,65,57.260000
gen=54,47,65,57.380000
gen=55,47,65,57.820000
gen=56,50,65,58.040000
gen=57,50,65,57.460000
gen=58,50,66,58.540000
gen=59,50,66,58.500000
gen=60,52,69,58.860000
gen=61,51,68,58.920000
gen=62,51,71,59.100000
gen=63,55,72,59.840000
gen=64,52,66,59.440000
gen=65,48,68,59.420000
gen=66,48,69,59.440000
gen=67,47,71,59.740000
gen=68,54,69,61.100000
gen=69,54,69,61.800000
gen=70,54,69,61.600000
gen=71,54,71,61.560000
gen=72,52,69,61.300000
gen=73,51,68,60.580000
gen=74,54,68,61.100000
gen=75,53,68,60.540000
gen=76,53,67,60.900000
gen=77,53,67,60.880000
gen=78,51,69,61.720000
gen=79,53,69,60.800000
gen=80,49,71,60.420000
gen=81,53,69,60.200000
gen=82,50,69,61.180000
gen=83,50,71,62.240000
gen=84,52,70,62.400000
gen=85,52,73,61.940000
gen=86,49,72,61.600000
gen=87,50,70,62.240000
gen=88,53,70,61.940000
gen=89,50,69,61.680000
gen=90,56,71,62.820000
gen=91,53,71,62.640000
gen=92,55,70,62.420000
gen=93,54,71,62.280000
gen=94,54,70,63.120000
gen=95,55,70,62.980000
gen=96,53,70,62.640000
gen=97,53,69,61.980000
gen=98,54,69,62.120000
gen=99,56,70,62.660000
trial=1
,min,max,avg
gen=0,40,58,49.040000
gen=1,39,60,49.660000
gen=2,39,60,50.560000
gen=3,37,61,50.380000
gen=4,40,61,51.040000
gen=5,40,64,51.860000
gen=6,43,61,52.620000
gen=7,44,65,53.060000
gen=8,46,63,53.680000
gen=9,45,65,55.020000
gen=10,47,66,55.300000
gen=11,43,69,56.340000
gen=12,46,68,55.640000
gen=13,46,71,55.620000
gen=14,46,67,54.840000
gen=15,47,65,53.700000
gen=16,46,65,54.080000
gen=17,46,65,53.940000
gen=18,46,64,53.400000
gen=19,47,62,53.880000
gen=20,44,62,54.720000
gen=21,42,61,53.920000
gen=22,46,62,54.360000
gen=23,46,62,54.220000
gen=24,46,62,54.780000
gen=25,48,63,55.540000
gen=26,48,65,55.780000
gen=27,48,66,57.060000
gen=28,48,65,57.240000
gen=29,49,64,57.300000
gen=30,46,65,56.400000
gen=31,46,65,57.800000
gen=32,47,66,57.660000
gen=33,46,67,57.240000
gen=34,47,66,56.700000
gen=35,48,68,56.560000
gen=36,45,65,57.000000
gen=37,49,63,56.200000
gen=38,49,64,55.140000
gen=39,49,64,55.880000
gen=40,47,64,55.480000
gen=41,45,65,55.180000
gen=42,49,67,55.780000
gen=43,47,65,55.880000
gen=44,43,64,55.580000
gen=45,45,67,56.720000
gen=46,50,65,56.260000
gen=47,47,66,55.960000
gen=48,44,67,56.020000
gen=49,42,67,56.740000
gen=50,45,68,57.460000
gen=51,47,68,58.200000
gen=52,46,67,57.540000
gen=53,50,65,58.460000
gen=54,52,67,59.040000
gen=55,47,67,58.580000
gen=56,51,68,59.800000
gen=57,51,68,59.820000
gen=58,52,69,60.020000
gen=59,52,65,59.300000
gen=60,50,65,59.240000
gen=61,53,65,59.180000
gen=62,50,66,58.900000
gen=63,50,67,59.200000
gen=64,52,70,59.760000
gen=65,52,69,59.380000
gen=66,52,68,59.740000
gen=67,49,69,59.580000
gen=68,48,69,60.340000
gen=69,50,67,60.800000
gen=70,50,68,61.060000
gen=71,55,71,62.020000
gen=72,52,68,61.480000
gen=73,53,69,62.020000
gen=74,51,69,62.300000
gen=75,52,68,61.320000
gen=76,51,67,61.640000
gen=77,53,68,60.800000
gen=78,52,69,61.360000
gen=79,53,68,61.180000
gen=80,50,73,61.300000
gen=81,53,75,61.800000
gen=82,54,74,62.840000
gen=83,53,74,62.380000
gen=84,52,70,61.540000
gen=85,53,68,60.460000
gen=86,51,70,59.320000
gen=87,50,66,59.460000
gen=88,51,68,60.300000
gen=89,54,71,60.880000
gen=90,50,69,60.360000
gen=91,50,67,59.720000
gen=92,52,68,59.880000
gen=93,49,70,59.740000
gen=94,50,67,59.060000
gen=95,51,67,60.200000
gen=96,54,70,61.220000
gen=97,55,70,61.860000
gen=98,54,70,62.440000
gen=99,50,71,61.740000
trial=2
,min,max,avg
gen=0,38,62,50.460000
gen=1,38,58,50.160000
gen=2,41,61,51.920000
gen=3,42,62,52.060000
gen=4,41,62,52.200000
gen=5,40,60,52.820000
gen=6,42,60,53.320000
gen=7,43,60,53.320000
gen=8,46,61,54.560000
gen=9,48,62,55.040000
gen=10,46,63,55.080000
gen=11,45,64,55.880000
gen=12,49,64,55.920000
gen=13,49,63,55.700000
gen=14,44,65,55.540000
gen=15,47,65,56.300000
gen=16,46,64,55.680000
gen=17,47,63,55.220000
gen=18,46,63,54.220000
gen=19,43,64,54.300000
gen=20,43,64,55.680000
gen=21,46,68,56.260000
gen=22,45,68,57.260000
gen=23,42,70,58.420000
gen=24,44,69,57.380000
gen=25,43,68,55.760000
gen=26,49,68,56.720000
gen=27,48,69,57.600000
gen=28,52,69,59.380000
gen=29,51,68,58.380000
gen=30,50,66,59.560000
gen=31,50,67,59.540000
gen=32,49,66,59.040000
gen=33,53,68,58.320000
gen=34,52,69,58.920000
gen=35,52,67,60.040000
gen=36,52,66,60.060000
gen=37,51,67,59.720000
gen=38,53,68,59.940000
gen=39,54,70,60.040000
gen=40,53,71,60.180000
gen=41,53,68,59.620000
gen=42,54,66,59.980000
gen=43,53,66,59.220000
gen=44,52,66,59.000000
gen=45,52,66,59.020000
gen=46,51,66,59.080000
gen=47,53,69,59.880000
gen=48,50,70,60.740000
gen=49,52,69,61.320000
gen=50,53,69,62.240000
gen=51,55,67,62.120000
gen=52,56,68,62.000000
gen=53,55,69,62.200000
gen=54,55,70,61.480000
gen=55,56,69,62.300000
gen=56,56,70,62.760000
gen=57,54,71,62.280000
gen=58,53,69,61.680000
gen=59,54,72,61.540000
gen=60,53,68,61.640000
gen=61,53,69,61.540000
gen=62,53,69,62.040000
gen=63,51,70,62.800000
gen=64,53,72,62.280000
gen=65,56,69,63.260000
gen=66,52,70,62.800000
gen=67,57,69,63.100000
gen=68,51,71,63.740000
gen=69,52,74,63.980000
gen=70,54,71,64.060000
gen=71,52,71,63.740000
gen=72,56,72,63.660000
gen=73,53,73,63.440000
gen=74,54,74,62.860000
gen=75,56,71,63.320000
gen=76,53,75,62.960000
gen=77,53,74,63.940000
gen=78,54,73,63.980000
gen=79,53,72,63.860000
gen=80,55,73,63.340000
gen=81,55,75,63.640000
gen=82,54,73,63.740000
gen=83,52,73,64.100000
gen=84,55,74,63.860000
gen=85,55,73,63.800000
gen=86,52,72,63.320000
gen=87,55,73,64.980000
gen=88,55,73,64.620000
gen=89,52,73,64.260000
gen=90,55,73,64.360000
gen=91,52,75,64.220000
gen=92,50,74,64.400000
gen=93,54,74,64.520000
gen=94,57,75,65.440000
gen=95,54,74,64.660000
gen=96,52,74,64.360000
gen=97,57,72,64.860000
gen=98,53,70,63.880000
gen=99,55,70,63.320000
trial=3
,min,max,avg
gen=0,38,61,50.200000
gen=1,43,60,51.360000
gen=2,43,62,51.480000
gen=3,41,61,51.660000
gen=4,41,60,52.620000
gen=5,44,63,53.600000
gen=6,44,64,54.220000
gen=7,45,65,55.360000
gen=8,44,67,56.600000
gen=9,46,67,55.600000
gen=10,47,67,55.820000
gen=11,46,67,56.120000
gen=12,42,66,54.740000
gen=13,45,67,55.280000
gen=14,43,64,55.500000
gen=15,44,67,55.580000
gen=16,48,68,56.480000
gen=17,45,67,57.780000
gen=18,48,66,58.560000
gen=19,47,69,58.960000
gen=20,50,69,58.500000
gen=21,49,67,58.520000
gen=22,49,69,58.040000
gen=23,44,70,58.380000
gen=24,45,67,58.740000
gen=25,49,70,60.060000
gen=26,49,68,60.300000
gen=27,52,68,60.800000
gen=28,50,69,60.260000
gen=29,52,70,60.300000
gen=30,53,71,60.720000
gen=31,50,71,59.660000
gen=32,50,72,60.020000
gen=33,50,72,60.500000
gen=34,52,70,59.500000
gen=35,52,67,59.960000
gen=36,53,67,60.200000
gen=37,50,69,60.220000
gen=38,52,69,60.820000
gen=39,51,67,60.400000
gen=40,50,70,60.700000
gen=41,51,70,60.820000
gen=42,53,68,61.180000
gen=43,51,69,60.700000
gen=44,49,70,59.720000
gen=45,49,69,59.080000
gen=46,53,68,59.320000
gen=47,50,69,58.560000
gen=48,49,69,58.980000
gen=49,49,70,59.440000
gen=50,49,69,58.920000
gen=51,49,69,58.420000
gen=52,52,67,59.340000
gen=53,50,66,59.340000
gen=54,48,70,58.880000
gen=55,49,71,59.020000
gen=56,51,67,57.940000
gen=57,52,68,57.940000
gen=58,50,69,59.040000
gen=59,47,72,58.240000
gen=60,46,72,59.900000
gen=61,49,71,59.640000
gen=62,48,73,58.620000
gen=63,48,73,58.460000
gen=64,50,70,57.380000
gen=65,50,69,57.620000
gen=66,49,71,57.800000
gen=67,47,70,58.080000
gen=68,49,71,58.620000
gen=69,49,66,58.180000
gen=70,50,67,58.360000
gen=71,48,67,58.560000
gen=72,48,68,59.120000
gen=73,50,71,60.900000
gen=74,48,70,60.600000
gen=75,49,69,59.680000
gen=76,44,72,59.480000
gen=77,48,72,58.820000
gen=78,46,66,57.620000
gen=79,49,68,57.800000
gen=80,48,68,57.900000
gen=81,51,68,57.760000
gen=82,51,69,58.600000
gen=83,50,69,58.060000
gen=84,49,65,57.620000
gen=85,48,66,57.280000
gen=86,49,67,57.880000
gen=87,48,68,58.220000
gen=88,50,70,58.760000
gen=89,47,66,58.740000
gen=90,47,67,59.380000
gen=91,50,67,59.160000
gen=92,48,67,58.460000
gen=93,49,71,59.580000
gen=94,47,72,59.440000
gen=95,50,68,59.180000
gen=96,51,72,59.440000
gen=97,52,69,59.480000
gen=98,51,68,59.260000
gen=99,52,69,58.800000
trial=4
,min,max,avg
gen=0,41,60,50.600000
gen=1,41,62,50.740000
gen=2,41,61,51.320000
gen=3,43,61,51.760000
gen=4,39,60,51.920000
gen=5,37,60,51.460000
gen=6,42,62,51.600000
gen=7,44,67,52.840000
gen=8,45,65,52.860000
gen=9,45,65,52.880000
gen=10,46,63,53.360000
gen=11,45,66,53.500000
gen=12,45,68,53.440000
gen=13,45,63,54.120000
gen=14,44,64,54.880000
gen=15,39,63,54.140000
gen=16,43,63,54.800000
gen=17,46,65,54.920000
gen=18,46,63,55.860000
gen=19,43,65,55.540000
gen=20,48,64,56.040000
gen=21,47,66,56.660000
gen=22,49,65,56.440000
gen=23,48,65,56.540000
gen=24,48,68,56.560000
gen=25,47,67,56.020000
gen=26,45,64,55.720000
gen=27,42,65,55.240000
gen=28,43,65,55.580000
gen=29,43,63,55.860000
gen=30,47,68,56.000000
gen=31,48,66,56.160000
gen=32,46,69,57.540000
gen=33,47,68,58.300000
gen=34,46,66,59.080000
gen=35,49,67,58.660000
gen=36,47,68,59.140000
gen=37,52,71,61.060000
gen=38,52,73,61.520000
gen=39,51,72,62.320000
gen=40,53,71,62.460000
gen=41,52,71,62.340000
gen=42,51,69,61.180000
gen=43,51,66,60.940000
gen=44,53,71,60.060000
gen=45,52,69,61.000000
gen=46,48,67,59.840000
gen=47,53,68,59.860000
gen=48,51,70,59.640000
gen=49,53,67,59.680000
gen=50,52,65,59.080000
gen=51,51,66,59.180000
gen=52,50,66,59.140000
gen=53,53,69,60.320000
gen=54,51,68,60.500000
gen=55,53,69,60.560000
gen=56,51,70,60.100000
gen=57,48,70,59.780000
gen=58,45,69,60.420000
gen=59,45,69,59.760000
gen=60,49,68,59.640000
gen=61,51,66,58.800000
gen=62,50,67,58.440000
gen=63,46,68,58.480000
gen=64,51,66,58.060000
gen=65,48,67,57.700000
gen=66,49,64,58.020000
gen=67,51,67,57.940000
gen=68,48,67,57.260000
gen=69,44,66,57.220000
gen=70,47,66,57.320000
gen=71,45,66,58.020000
gen=72,47,68,57.900000
gen=73,51,68,58.440000
gen=74,51,68,58.720000
gen=75,49,68,59.180000
gen=76,48,68,58.520000
gen=77,48,64,57.060000
gen=78,46,64,56.480000
gen=79,48,63,56.380000
gen=80,47,64,56.360000
gen=81,47,63,55.120000
gen=82,49,66,56.080000
gen=83,47,67,55.720000
gen=84,48,65,55.860000
gen=85,44,64,54.820000
gen=86,47,65,54.960000
gen=87,45,65,55.160000
gen=88,45,64,55.520000
gen=89,44,66,55.820000
gen=90,46,64,55.380000
gen=91,46,64,55.600000
gen=92,49,66,56.020000
gen=93,51,67,57.140000
gen=94,49,67,57.840000
gen=95,50,67,58.940000
gen=96,49,70,59.000000
gen=97,52,70,60.260000
gen=98,53,68,59.580000
gen=99,50,70,60.220000
trial=5
,min,max,avg
gen=0,40,62,51.520000
gen=1,42,58,52.080000
gen=2,41,61,52.980000
gen=3,47,62,54.020000
gen=4,46,63,55.280000
gen=5,49,65,55.260000
gen=6,47,62,55.100000
gen=7,46,64,55.160000
gen=8,48,66,54.780000
gen=9,47,64,54.520000
gen=10,47,63,55.500000
gen=11,48,62,55.740000
gen=12,46,64,55.600000
gen=13,44,70,55.020000
gen=14,46,68,55.460000
gen=15,46,67,57.200000
gen=16,45,65,57.060000
gen=17,46,65,56.840000
gen=18,48,66,57.540000
gen=19,48,69,57.980000
gen=20,50,67,57.900000
gen=21,49,65,58.620000
gen=22,47,66,59.480000
gen=23,50,67,59.540000
gen=24,50,68,59.660000
gen=25,49,71,60.300000
gen=26,50,72,59.780000
gen=27,50,71,60.020000
gen=28,48,74,59.900000
gen=29,48,71,60.120000
gen=30,49,69,60.940000
gen=31,47,66,60.780000
gen=32,47,70,60.120000
gen=33,47,70,59.900000
gen=34,50,71,60.480000
gen=35,50,68,60.140000
gen=36,49,68,60.080000
gen=37,52,70,60.420000
gen=38,53,68,60.840000
gen=39,48,69,60.800000
gen=40,50,69,60.720000
gen=41,52,70,60.960000
gen=42,53,68,60.260000
gen=43,52,69,60.940000
gen=44,50,70,61.500000
gen=45,49,67,60.300000
gen=46,50,68,60.360000
gen=47,52,67,60.180000
gen=48,51,73,60.680000
gen=49,51,72,60.760000
gen=50,51,71,60.520000
gen=51,53,69,60.340000
gen=52,53,69,60.220000
gen=53,54,69,60.640000
gen=54,54,70,60.760000
gen=55,54,72,60.720000
gen=56,51,70,61.060000
gen=57,53,68,61.140000
gen=58,52,69,60.240000
gen=59,51,70,60.620000
gen=60,54,68,60.480000
gen=61,52,67,61.040000
gen=62,53,72,61.420000
gen=63,50,73,62.220000
gen=64,55,69,63.040000
gen=65,54,73,62.580000
gen=66,53,72,62.140000
gen=67,53,71,62.480000
gen=68,53,70,62.600000
gen=69,51,69,61.960000
gen=70,47,71,62.080000
gen=71,53,69,62.460000
gen=72,56,70,63.660000
gen=73,56,72,64.100000
gen=74,57,70,63.760000
gen=75,54,74,64.080000
gen=76,54,72,63.420000
gen=77,56,71,62.720000
gen=78,56,73,62.560000
gen=79,53,70,61.940000
gen=80,52,71,61.420000
gen=81,52,70,60.540000
gen=82,52,68,60.900000
gen=83,52,68,60.520000
gen=84,50,67,60.060000
gen=85,51,66,59.960000
gen=86,50,66,59.540000
gen=87,51,70,60.360000
gen=88,54,66,60.720000
gen=89,53,68,60.680000
gen=90,53,67,60.640000
gen=91,53,70,59.900000
gen=92,52,69,59.840000
gen=93,51,68,59.720000
gen=94,50,69,60.140000
gen=95,48,69,59.940000
gen=96,51,70,60.640000
gen=97,52,69,60.980000
gen=98,51,71,60.900000
gen=99,51,68,61.040000
trial=6
,min,max,avg
gen=0,40,58,50.440000
gen=1,40,61,50.880000
gen=2,45,60,52.420000
gen=3,45,62,53.220000
gen=4,45,60,52.920000
gen=5,46,62,54.320000
gen=6,46,64,55.320000
gen=7,46,64,54.320000
gen=8,49,65,54.940000
gen=9,46,61,55.060000
gen=10,45,63,54.980000
gen=11,44,65,54.520000
gen=12,49,68,55.980000
gen=13,47,66,55.680000
gen=14,43,62,55.700000
gen=15,46,65,55.660000
gen=16,43,66,55.960000
gen=17,49,67,56.860000
gen=18,48,67,57.140000
gen=19,44,69,57.800000
gen=20,43,69,59.500000
gen=21,45,70,61.440000
gen=22,51,68,61.520000
gen=23,55,72,62.180000
gen=24,53,70,62.360000
gen=25,51,68,60.940000
gen=26,52,70,60.320000
gen=27,53,66,59.880000
gen=28,47,68,60.320000
gen=29,50,70,60.660000
gen=30,46,70,61.240000
gen=31,49,69,62.000000
gen=32,57,72,63.040000
gen=33,51,71,62.200000
gen=34,50,68,60.800000
gen=35,49,67,60.420000
gen=36,53,69,60.980000
gen=37,54,69,61.380000
gen=38,52,68,61.020000
gen=39,55,69,60.880000
gen=40,52,71,59.960000
gen=41,54,71,60.440000
gen=42,51,70,59.760000
gen=43,52,67,59.200000
gen=44,52,70,59.940000
gen=45,55,72,61.480000
gen=46,56,69,61.820000
gen=47,52,72,61.380000
gen=48,54,73,61.880000
gen=49,52,73,63.120000
gen=50,53,73,63.080000
gen=51,56,71,63.720000
gen=52,53,72,63.440000
gen=53,55,73,63.740000
gen=54,54,71,62.400000
gen=55,51,72,62.080000
gen=56,51,72,62.040000
gen=57,54,70,62.500000
gen=58,50,70,63.540000
gen=59,56,72,63.660000
gen=60,54,75,63.580000
gen=61,57,74,64.200000
gen=62,56,72,63.340000
gen=63,56,73,64.200000
gen=64,52,73,64.780000
gen=65,56,72,64.440000
gen=66,55,71,64.520000
gen=67,57,69,64.480000
gen=68,55,70,63.760000
gen=69,55,71,62.800000
gen=70,54,70,62.320000
gen=71,54,70,62.480000
gen=72,52,69,62.660000
gen=73,52,70,63.220000
gen=74,51,72,62.960000
gen=75,57,72,63.880000
gen=76,57,69,63.760000
gen=77,56,69,63.140000
gen=78,54,69,62.960000
gen=79,54,70,62.520000
gen=80,52,69,61.960000
gen=81,53,69,61.920000
gen=82,55,71,62.520000
gen=83,54,70,62.120000
gen=84,52,69,61.940000
gen=85,52,67,61.140000
gen=86,52,68,60.920000
gen=87,52,68,60.760000
gen=88,53,67,60.460000
gen=89,53,68,60.360000
gen=90,53,69,60.440000
gen=91,54,70,61.300000
gen=92,54,71,62.460000
gen=93,55,72,61.880000
gen=94,53,72,62.000000
gen=95,55,70,62.340000
gen=96,54,69,61.840000
gen=97,51,69,61.600000
gen=98,54,71,61.860000
gen=99,52,70,62.040000
trial=7
,min,max,avg
gen=0,39,60,49.860000
gen=1,38,60,50.000000
gen=2,38,60,50.480000
gen=3,34,62,51.280000
gen=4,36,62,51.960000
gen=5,43,57,51.200000
gen=6,41,61,52.340000
gen=7,45,64,53.640000
gen=8,44,62,53.660000
gen=9,46,61,54.120000
gen=10,45,60,53.380000
gen=11,41,63,53.400000
gen=12,41,62,53.560000
gen=13,48,62,55.040000
gen=14,47,66,54.360000
gen=15,46,63,54.400000
gen=16,48,64,54.520000
gen=17,48,61,54.760000
gen=18,48,63,55.300000
gen=19,48,65,56.160000
gen=20,48,65,55.800000
gen=21,43,65,56.360000
gen=22,46,66,57.100000
gen=23,48,64,56.960000
gen=24,47,68,56.380000
gen=25,49,66,57.300000
gen=26,50,66,58.120000
gen=27,49,66,57.980000
gen=28,48,68,58.440000
gen=29,48,68,58.560000
gen=30,49,69,59.020000
gen=31,47,67,59.300000
gen=32,51,68,59.500000
gen=33,52,66,59.580000
gen=34,52,68,59.400000
gen=35,52,69,59.220000
gen=36,46,71,59.500000
gen=37,49,69,60.500000
gen=38,49,73,60.240000
gen=39,52,72,60.480000
gen=40,52,70,59.920000
gen=41,50,69,60.420000
gen=42,52,68,60.500000
gen=43,54,69,60.160000
gen=44,54,70,60.280000
gen=45,51,70,60.720000
gen=46,51,71,61.360000
gen=47,48,70,61.100000
gen=48,47,73,61.820000
gen=49,48,70,61.320000
gen=50,52,66,60.720000
gen=51,53,67,60.820000
gen=52,52,68,60.040000
gen=53,54,68,60.200000
gen=54,52,68,60.320000
gen=55,50,69,60.640000
gen=56,51,70,60.100000
gen=57,52,70,60.240000
gen=58,52,69,60.400000
gen=59,51,69,60.900000
gen=60,47,71,60.480000
gen=61,51,71,62.000000
gen=62,48,71,61.860000
gen=63,50,72,62.480000
gen=64,52,73,62.420000
gen=65,50,73,62.700000
gen=66,54,74,62.740000
gen=67,52,75,62.860000
gen=68,48,74,62.600000
gen=69,44,73,62.100000
gen=70,54,74,63.580000
gen=71,54,75,62.920000
gen=72,56,72,62.340000
gen=73,52,71,62.300000
gen=74,56,72,62.660000
gen=75,57,68,62.320000
gen=76,56,69,62.220000
gen=77,54,72,61.740000
gen=78,52,72,62.060000
gen=79,53,70,62.060000
gen=80,53,69,61.820000
gen=81,55,73,62.840000
gen=82,52,74,62.600000
gen=83,54,75,63.380000
gen=84,51,75,63.320000
gen=85,52,70,63.040000
gen=86,56,71,63.720000
gen=87,56,70,63.320000
gen=88,57,70,63.080000
gen=89,56,72,63.040000
gen=90,56,73,62.340000
gen=91,54,72,63.080000
gen=92,51,72,63.560000
gen=93,52,72,63.360000
gen=94,52,70,62.420000
gen=95,54,73,63.340000
gen=96,54,77,63.200000
gen=97,49,73,63.860000
gen=98,59,75,64.440000
gen=99,51,72,64.160000
trial=8
,min,max,avg
gen=0,42,67,51.440000
gen=1,43,68,51.320000
gen=2,43,67,52.220000
gen=3,41,64,52.380000
gen=4,38,63,53.700000
gen=5,41,61,53.600000
gen=6,41,64,53.580000
gen=7,41,63,53.620000
gen=8,46,69,54.420000
gen=9,46,69,56.860000
gen=10,48,69,56.540000
gen=11,47,67,55.500000
gen=12,46,66,55.780000
gen=13,48,68,55.960000
gen=14,46,69,56.320000
gen=15,45,66,56.360000
gen=16,46,66,56.840000
gen=17,47,65,57.180000
gen=18,48,70,57.840000
gen=19,49,71,58.900000
gen=20,48,70,60.820000
gen=21,51,72,61.400000
gen=22,53,68,60.680000
gen=23,50,67,60.680000
gen=24,49,69,59.600000
gen=25,51,67,60.080000
gen=26,47,67,59.840000
gen=27,51,67,59.780000
gen=28,50,66,59.760000
gen=29,54,68,60.380000
gen=30,53,69,59.820000
gen=31,54,67,60.420000
gen=32,54,67,60.920000
gen=33,55,69,60.520000
gen=34,52,67,60.120000
gen=35,51,69,60.260000
gen=36,53,66,60.080000
gen=37,49,67,60.120000
gen=38,50,69,61.460000
gen=39,50,72,62.020000
gen=40,51,71,62.140000
gen=41,53,73,61.280000
gen=42,54,72,62.580000
gen=43,55,69,62.040000
gen=44,50,71,62.180000
gen=45,55,70,62.860000
gen=46,56,73,63.440000
gen=47,53,70,62.980000
gen=48,50,68,61.640000
gen=49,48,70,60.500000
