trial=0
,min,max,avg
gen=50,53,70,60.760000
gen=51,51,70,60.600000
gen=52,49,68,60.900000
gen=53,52,71,60.940000
gen=54,53,73,62.060000
gen=55,55,72,62.820000
gen=56,55,72,62.780000
gen=57,54,73,63.700000
gen=58,55,72,63.740000
gen=59,57,73,64.180000
gen=60,57,73,64.400000
gen=61,57,74,65.760000
gen=62,55,73,66.380000
gen=63,57,73,66.060000
gen=64,59,71,65.460000
gen=65,59,72,65.940000
gen=66,59,74,65.680000
gen=67,55,74,65.440000
gen=68,55,73,65.260000
gen=69,58,74,65.380000
gen=70,59,72,64.560000
gen=71,55,76,64.140000
gen=72,53,74,63.020000
gen=73,52,71,63.040000
gen=74,52,69,62.380000
gen=75,53,69,61.320000
gen=76,53,69,61.160000
gen=77,51,67,60.940000
gen=78,53,68,60.820000
gen=79,50,67,60.860000
gen=80,54,69,61.000000
gen=81,52,67,61.340000
gen=82,54,66,61.100000
gen=83,54,67,61.260000
gen=84,53,71,60.880000
gen=85,55,71,61.600000
gen=86,55,72,62.520000
gen=87,55,71,63.380000
gen=88,56,72,63.180000
gen=89,52,71,63.060000
gen=90,55,73,63.900000
gen=91,58,72,64.560000
gen=92,54,73,64.400000
gen=93,57,71,64.420000
gen=94,58,73,63.960000
gen=95,56,71,63.440000
gen=96,56,71,63.640000
gen=97,56,70,63.820000
gen=98,55,72,64.080000
gen=99,50,71,63.960000
trial=9
,min,max,avg
gen=0,39,59,49.780000
gen=1,40,58,50.540000
gen=2,41,58,50.440000
gen=3,43,59,50.560000
gen=4,44,61,50.860000
gen=5,44,61,51.380000
gen=6,43,60,52.100000
gen=7,45,61,52.080000
gen=8,44,60,51.260000
gen=9,46,61,52.440000
gen=10,44,64,53.080000
gen=11,44,60,53.980000
gen=12,43,61,53.640000
gen=13,45,63,54.180000
gen=14,45,63,54.400000
gen=15,46,64,54.240000
gen=16,47,63,54.480000
gen=17,48,62,54.580000
gen=18,46,63,55.560000
gen=19,44,63,55.280000
gen=20,47,65,55.280000
gen=21,43,64,54.320000
gen=22,40,64,54.820000
gen=23,42,64,54.640000
gen=24,42,65,54.120000
gen=25,46,64,55.780000
gen=26,49,65,56.740000
gen=27,51,63,56.040000
gen=28,48,63,56.340000
gen=29,48,63,55.700000
gen=30,43,67,55.920000
gen=31,49,64,56.160000
gen=32,49,63,56.780000
gen=33,44,66,57.380000
gen=34,47,64,57.420000
gen=35,51,68,56.980000
gen=36,47,65,57.100000
gen=37,48,64,56.900000
gen=38,49,68,58.180000
gen=39,49,67,58.220000
gen=40,47,65,57.580000
gen=41,47,64,57.820000
gen=42,54,64,58.080000
gen=43,51,65,57.900000
gen=44,51,65,57.580000
gen=45,50,65,58.080000
gen=46,51,65,58.440000
gen=47,50,65,58.180000
gen=48,51,65,57.540000
gen=49,47,66,57.780000
gen=50,49,68,57.840000
gen=51,50,68,58.460000
gen=52,47,68,57.740000
gen=53,49,67,58.740000
gen=54,47,67,59.220000
gen=55,52,67,59.920000
gen=56,51,69,60.460000
gen=57,50,71,60.900000
gen=58,53,72,61.480000
gen=59,45,70,60.880000
gen=60,52,68,61.720000
gen=61,56,70,63.320000
gen=62,54,71,62.780000
gen=63,56,70,63.040000
gen=64,55,70,62.360000
gen=65,54,70,61.600000
gen=66,54,73,62.880000
gen=67,54,71,63.140000
gen=68,56,71,64.040000
gen=69,59,71,64.320000
gen=70,57,73,65.220000
gen=71,55,73,64.540000
gen=72,57,73,64.440000
gen=73,54,73,64.700000
gen=74,56,72,65.580000
gen=75,53,72,65.460000
gen=76,52,73,64.180000
gen=77,57,74,65.020000
gen=78,57,75,65.320000
gen=79,57,76,65.740000
gen=80,58,73,65.500000
gen=81,56,73,65.100000
gen=82,55,74,64.760000
gen=83,58,73,65.940000
gen=84,58,72,65.620000
gen=85,59,73,65.600000
gen=86,60,76,65.740000
gen=87,59,74,65.360000
gen=88,56,76,65.640000
